source,target,type,weight,groups
58,55,undirected,1,09CrabWithGoldenClaws|
58,15,undirected,1,09CrabWithGoldenClaws|
04,55,undirected,1,09CrabWithGoldenClaws|
04,15,undirected,1,09CrabWithGoldenClaws|
55,15,undirected,1,09CrabWithGoldenClaws|
89,53,undirected,1,10ShootingStar|
89,16,undirected,3,10ShootingStar|11SecretOfUnicorn|13SevenCrystalBalls|
89,67,undirected,1,10ShootingStar|
89,63,undirected,2,10ShootingStar|13SevenCrystalBalls|
89,66,undirected,1,10ShootingStar|
89,12,undirected,2,10ShootingStar|12RedRackhamsTreasure|
76,53,undirected,1,10ShootingStar|
76,16,undirected,3,10ShootingStar|11SecretOfUnicorn|13SevenCrystalBalls|
76,67,undirected,1,10ShootingStar|
76,63,undirected,2,10ShootingStar|13SevenCrystalBalls|
76,66,undirected,1,10ShootingStar|
76,12,undirected,2,10ShootingStar|12RedRackhamsTreasure|
17,53,undirected,1,10ShootingStar|
17,16,undirected,3,10ShootingStar|11SecretOfUnicorn|13SevenCrystalBalls|
17,67,undirected,1,10ShootingStar|
17,63,undirected,2,10ShootingStar|13SevenCrystalBalls|
17,66,undirected,1,10ShootingStar|
17,12,undirected,2,10ShootingStar|12RedRackhamsTreasure|
88,53,undirected,1,10ShootingStar|
88,16,undirected,3,10ShootingStar|11SecretOfUnicorn|13SevenCrystalBalls|
88,67,undirected,1,10ShootingStar|
88,63,undirected,2,10ShootingStar|13SevenCrystalBalls|
88,66,undirected,1,10ShootingStar|
88,12,undirected,2,10ShootingStar|12RedRackhamsTreasure|
53,16,undirected,1,10ShootingStar|
53,67,undirected,1,10ShootingStar|
53,63,undirected,1,10ShootingStar|
53,66,undirected,1,10ShootingStar|
53,12,undirected,1,10ShootingStar|
16,67,undirected,1,10ShootingStar|
16,63,undirected,1,10ShootingStar|
16,66,undirected,1,10ShootingStar|
16,12,undirected,1,10ShootingStar|
67,63,undirected,1,10ShootingStar|
67,66,undirected,1,10ShootingStar|
67,12,undirected,1,10ShootingStar|
63,66,undirected,1,10ShootingStar|
63,12,undirected,1,10ShootingStar|
66,12,undirected,1,10ShootingStar|
89,40,undirected,3,11SecretOfUnicorn|12RedRackhamsTreasure|24AlphArt|
89,81,undirected,2,11SecretOfUnicorn|24AlphArt|
89,06,undirected,1,11SecretOfUnicorn|
89,09,undirected,1,11SecretOfUnicorn|
89,56,undirected,8,11SecretOfUnicorn|13SevenCrystalBalls|15LandOfBlackGold|16DestinationMoon|18CalculusAffair|19RedSeaSharks|21CastafioreEmerald|23Picaros|
89,75,undirected,1,11SecretOfUnicorn|
89,72,undirected,1,11SecretOfUnicorn|
76,40,undirected,3,11SecretOfUnicorn|12RedRackhamsTreasure|24AlphArt|
76,81,undirected,2,11SecretOfUnicorn|24AlphArt|
76,06,undirected,1,11SecretOfUnicorn|
76,09,undirected,1,11SecretOfUnicorn|
76,56,undirected,8,11SecretOfUnicorn|13SevenCrystalBalls|15LandOfBlackGold|16DestinationMoon|18CalculusAffair|19RedSeaSharks|21CastafioreEmerald|23Picaros|
76,75,undirected,1,11SecretOfUnicorn|
76,72,undirected,1,11SecretOfUnicorn|
17,40,undirected,3,11SecretOfUnicorn|12RedRackhamsTreasure|24AlphArt|
17,81,undirected,2,11SecretOfUnicorn|24AlphArt|
17,06,undirected,1,11SecretOfUnicorn|
17,09,undirected,1,11SecretOfUnicorn|
17,56,undirected,8,11SecretOfUnicorn|13SevenCrystalBalls|15LandOfBlackGold|16DestinationMoon|18CalculusAffair|19RedSeaSharks|21CastafioreEmerald|23Picaros|
17,75,undirected,1,11SecretOfUnicorn|
17,72,undirected,1,11SecretOfUnicorn|
88,40,undirected,3,11SecretOfUnicorn|12RedRackhamsTreasure|24AlphArt|
88,81,undirected,2,11SecretOfUnicorn|24AlphArt|
88,06,undirected,1,11SecretOfUnicorn|
88,09,undirected,1,11SecretOfUnicorn|
88,56,undirected,8,11SecretOfUnicorn|13SevenCrystalBalls|15LandOfBlackGold|16DestinationMoon|18CalculusAffair|19RedSeaSharks|21CastafioreEmerald|23Picaros|
88,75,undirected,1,11SecretOfUnicorn|
88,72,undirected,1,11SecretOfUnicorn|
40,81,undirected,2,11SecretOfUnicorn|24AlphArt|
40,06,undirected,1,11SecretOfUnicorn|
40,09,undirected,1,11SecretOfUnicorn|
40,56,undirected,1,11SecretOfUnicorn|
40,55,undirected,1,11SecretOfUnicorn|
40,16,undirected,1,11SecretOfUnicorn|
40,75,undirected,1,11SecretOfUnicorn|
40,72,undirected,1,11SecretOfUnicorn|
81,06,undirected,1,11SecretOfUnicorn|
81,09,undirected,1,11SecretOfUnicorn|
81,56,undirected,1,11SecretOfUnicorn|
81,55,undirected,1,11SecretOfUnicorn|
81,16,undirected,1,11SecretOfUnicorn|
81,75,undirected,1,11SecretOfUnicorn|
81,72,undirected,1,11SecretOfUnicorn|
06,09,undirected,1,11SecretOfUnicorn|
06,56,undirected,1,11SecretOfUnicorn|
06,55,undirected,1,11SecretOfUnicorn|
06,16,undirected,1,11SecretOfUnicorn|
06,75,undirected,1,11SecretOfUnicorn|
06,72,undirected,1,11SecretOfUnicorn|
09,56,undirected,1,11SecretOfUnicorn|
09,55,undirected,1,11SecretOfUnicorn|
09,16,undirected,1,11SecretOfUnicorn|
09,75,undirected,1,11SecretOfUnicorn|
09,72,undirected,1,11SecretOfUnicorn|
56,55,undirected,1,11SecretOfUnicorn|
56,16,undirected,2,11SecretOfUnicorn|13SevenCrystalBalls|
56,75,undirected,1,11SecretOfUnicorn|
56,72,undirected,1,11SecretOfUnicorn|
55,16,undirected,1,11SecretOfUnicorn|
55,75,undirected,1,11SecretOfUnicorn|
55,72,undirected,1,11SecretOfUnicorn|
16,75,undirected,1,11SecretOfUnicorn|
16,72,undirected,1,11SecretOfUnicorn|
75,72,undirected,1,11SecretOfUnicorn|
89,62,undirected,13,12RedRackhamsTreasure|13SevenCrystalBalls|14PrisonersOfSun|15LandOfBlackGold|16DestinationMoon|17ExplorersOnMoon|18CalculusAffair|19RedSeaSharks|20Tibet|21CastafioreEmerald|22Flight714|23Picaros|24AlphArt|
76,62,undirected,13,12RedRackhamsTreasure|13SevenCrystalBalls|14PrisonersOfSun|15LandOfBlackGold|16DestinationMoon|17ExplorersOnMoon|18CalculusAffair|19RedSeaSharks|20Tibet|21CastafioreEmerald|22Flight714|23Picaros|24AlphArt|
17,62,undirected,13,12RedRackhamsTreasure|13SevenCrystalBalls|14PrisonersOfSun|15LandOfBlackGold|16DestinationMoon|17ExplorersOnMoon|18CalculusAffair|19RedSeaSharks|20Tibet|21CastafioreEmerald|22Flight714|23Picaros|24AlphArt|
62,88,undirected,11,12RedRackhamsTreasure|13SevenCrystalBalls|14PrisonersOfSun|15LandOfBlackGold|16DestinationMoon|17ExplorersOnMoon|18CalculusAffair|19RedSeaSharks|21CastafioreEmerald|23Picaros|24AlphArt|
62,12,undirected,1,12RedRackhamsTreasure|
62,40,undirected,2,12RedRackhamsTreasure|24AlphArt|
12,40,undirected,1,12RedRackhamsTreasure|
89,74,undirected,1,13SevenCrystalBalls|
89,19,undirected,2,13SevenCrystalBalls|14PrisonersOfSun|
89,68,undirected,1,13SevenCrystalBalls|
76,74,undirected,1,13SevenCrystalBalls|
76,19,undirected,2,13SevenCrystalBalls|14PrisonersOfSun|
76,68,undirected,1,13SevenCrystalBalls|
17,74,undirected,1,13SevenCrystalBalls|
17,31,undirected,3,13SevenCrystalBalls|19RedSeaSharks|23Picaros|
17,19,undirected,2,13SevenCrystalBalls|14PrisonersOfSun|
17,68,undirected,1,13SevenCrystalBalls|
17,11,undirected,7,13SevenCrystalBalls|15LandOfBlackGold|18CalculusAffair|19RedSeaSharks|20Tibet|21CastafioreEmerald|23Picaros|
62,74,undirected,1,13SevenCrystalBalls|
62,31,undirected,2,13SevenCrystalBalls|23Picaros|
62,19,undirected,2,13SevenCrystalBalls|14PrisonersOfSun|
62,63,undirected,1,13SevenCrystalBalls|
62,68,undirected,1,13SevenCrystalBalls|
62,11,undirected,6,13SevenCrystalBalls|15LandOfBlackGold|18CalculusAffair|20Tibet|21CastafioreEmerald|23Picaros|
62,56,undirected,7,13SevenCrystalBalls|15LandOfBlackGold|16DestinationMoon|18CalculusAffair|19RedSeaSharks|21CastafioreEmerald|23Picaros|
62,16,undirected,1,13SevenCrystalBalls|
88,74,undirected,1,13SevenCrystalBalls|
88,31,undirected,2,13SevenCrystalBalls|23Picaros|
88,19,undirected,2,13SevenCrystalBalls|14PrisonersOfSun|
88,68,undirected,1,13SevenCrystalBalls|
74,31,undirected,1,13SevenCrystalBalls|
74,19,undirected,1,13SevenCrystalBalls|
74,63,undirected,1,13SevenCrystalBalls|
74,68,undirected,1,13SevenCrystalBalls|
74,11,undirected,1,13SevenCrystalBalls|
74,56,undirected,1,13SevenCrystalBalls|
74,16,undirected,1,13SevenCrystalBalls|
31,19,undirected,1,13SevenCrystalBalls|
31,63,undirected,1,13SevenCrystalBalls|
31,68,undirected,1,13SevenCrystalBalls|
31,11,undirected,3,13SevenCrystalBalls|19RedSeaSharks|23Picaros|
31,56,undirected,3,13SevenCrystalBalls|19RedSeaSharks|23Picaros|
31,16,undirected,1,13SevenCrystalBalls|
