ID,SF or Cat no,Ctxt ID,Object category,Condition,Obj Type,Firm ID?,Description,Quantity,Height cm,Width cm,Length cm,Depth cm,Diameter cm,Rim dia cm,Base dia cm,Material,Technique,Appearance,Stylistic date,Figure no,Obj Illustration,Out of copyright,Notes,VS parallels
1626,PaneasFL22,PanBurntSt8F8,Lighting,broken,Lamp,Y,Paneas Type D - Sussman Type 6,1,,6.5,9.5,,,,,Pottery/ceramic,,clay pink; discolouration burning,300-350; 350-400; 400-450,8.4.22,1,FALSE,,
1627,PaneasFL23,PanBurntSt8F8,Lighting,broken,Lamp,Y,Paneas Type D - Sussman Type 6,1,,6,10,,,,,Pottery/ceramic,,clay pink; discolouration burning,300-350; 350-400; 400-450,8.5.23,1,FALSE,,
1628,PaneasFL24,PanBurntSt8F8,Lighting,broken,Lamp,Y,Paneas Type D - Sussman Type 6,1,,,,,,,,Pottery/ceramic,,clay red; clay yellow,300-350; 350-400; 400-450,8.5.24,1,FALSE,,
1629,PaneasFL25,PanBurntSt8F8,Lighting,fragmentary,Lamp,Y,,1,,6.5,9,,,,,Pottery/ceramic,,clay light red; discolouration burning,,8.5.25,1,FALSE,,
1630,PaneasFL26,PanBurntSt8F14,Lighting,fragmentary,Lamp,Y,,1,,,,,,,,Pottery/ceramic,,clay light red,,8.5.26,1,FALSE,,
1631,PaneasFL27,PanBurntSt8F14,Lighting,fragmentary,Lamp,Y,,1,,,,,,,,Pottery/ceramic,,clay light red,,8.5.27,1,FALSE,,
1632,PaneasFL28,PanBurntSt8F8,Lighting,fragmentary,Lamp,Y,,1,,,,,,,,Pottery/ceramic,,clay red; clay yellow,,8.5.28,1,FALSE,,
1633,PaneasFL29,PanBurntSt8F8,Lighting,fragmentary,Lamp,Y,,1,,,,,,,,Pottery/ceramic,,clay pink,,8.5.29,1,FALSE,,
1634,PaneasFL30,PanBurntSt8F12,Lighting,fragmentary,Lamp,Y,,1,,,,,,,,Pottery/ceramic,,clay pink,,8.5.30,1,FALSE,,
402,PaneasFP30,PanBurntSt8F8,,intact,Lid-Gen,Y,,1,10,,,,12,,,Pottery/ceramic,,clay light red,,7.11:30,1,FALSE,,
403,PaneasFP31,PanBurntSt8F8,,intact,Lid-Gen,Y,,1,10,,,,11.5,,,Pottery/ceramic,,clay light red; slip grey,,7.11:31,1,FALSE,,
404,PaneasFP32,PanBurntSt8F8,,broken,Lid-Gen,Y,,1,5,,,,,,,Pottery/ceramic,,clay light red,,7.11:32,1,FALSE,,
405,PaneasFP33,PanBurntSt8F8,,intact,Lid-Gen,Y,,1,7.5,,,,10,,,Pottery/ceramic,,clay light red,,7.11:33,1,FALSE,,
1664,PaneasFG33,PanBurntSt8F8,,fragmentary,Pendant,Y,,1,,,,,,,,,,,,9.6.33,1,FALSE,,
1774,PaneasFM47,PanBurntSt8F8,Jewellery,broken,Pendant,Y,,1,,1.7,3.4,,,,,Cu alloy; Glass,,other metal; white,,5.47,1,FALSE,,
1772,PaneasFM30,PanBurntSt8F5,Jewellery,intact,Pendant-HeartShaped,Y,,1,,0.8,0.7,,,,,Gemstone; Gold,,black; gold,,5.30,1,FALSE,,
416,PaneasFP44,PanBurntSt8F8,Container,fragmentary,Pithos,Y,,1,5,,,,,12,,Pottery/ceramic,,clay light red,,7.13:44,1,FALSE,,
417,PaneasFP45,PanBurntSt8F8,Container,fragmentary,Pithos,Y,,1,10,,,,,23.75,,Pottery/ceramic,,clay red; clay yellow,,7.13:45,1,FALSE,,
418,PaneasFP46,PanBurntSt8F11,Container,intact,Pithos,Y,,1,44,,,,32.5,10,,Pottery/ceramic,,clay red,,7.13:46,1,FALSE,,
419,PaneasFP47,PanBurntSt8F8,Container,intact,Pithos,Y,,1,32.5,,,,20,7.5,,Pottery/ceramic,,clay red; incised decoration,,7.13:47,1,FALSE,,
374,PaneasFP2,PanBurntSt8F5,,intact,Platter,Y,,1,5,,,,25,,,Pottery/ceramic,,burnished; clay light red,,7.9:2,1,FALSE,,
1775,PaneasFM63,PanBurntSt8F8,Agriculture,broken,PruningHook,Y,,1,,11,18,,,,,Iron,,other metal,,5.63,1,FALSE,,
1767,PaneasFM18a,PanBurntSt8F8,Toilet,broken,SpatulaCosmetic,Y,,1,,1,13,,,,,Cu alloy,,other metal,,5.18a,1,FALSE,,
1768,PaneasFM18b,PanBurntSt8F8,Toilet,broken,SpatulaCosmetic,Y,,1,,0.75,11.6,,,,,Cu alloy,,other metal,,5.18b,1,FALSE,,
1769,PaneasFM19,PanBurntSt8F14,Toilet,intact,SpatulaCosmetic,Y,,1,,1.1,16.5,,,,,Cu alloy,,other metal,,5.19,1,FALSE,,
1770,PaneasFM20,PanBurntSt8F8,Toilet,fragmentary,SpatulaCosmetic,Y,,1,,1.3,5.5,,,,,Cu alloy,,other metal,,5.20,1,FALSE,,
1663,PaneasFG31,PanBurntSt8F8,,intact,SpindleWhorl,Y,,1,,,,,,,,,,,,9.6.32,1,FALSE,,
1777,PaneasFM99,PanBurntSt8F14,,broken,UnidentifiedObject,Y,,1,,7.6,11,,,,,Iron,,other metal,,5.99,1,FALSE,,
1778,PaneasFM100,PanBurntSt8F8,,broken,UnidentifiedObject,Y,,1,,4,7.4,,,,,Iron,,other metal,,5.100,1,FALSE,,
1661,PaneasFG29,PanBurntSt8F8,,broken,Vessel-Tubular,Y,,1,,,,,,,,Glass,,,,9.6.30,1,FALSE,,
1662,PaneasFG30,PanBurntSt8F8,,broken,Vessel-Tubular,Y,,1,,,,,,,,Glass,,,,9.6.31,1,FALSE,,
1665,PaneasFG34,PanBurntSt8F8,,broken,WindowGlass,Y,,1,,,,,,,,Glass,,,,9.7.34,0,FALSE,,
1666,PaneasFG35,PanBurntSt8F8,,broken,WindowGlass,Y,,1,,,,,,,,Glass,,,,9.7.35,0,FALSE,,
